configuration,pixel_accuracy,mIoU,IoU_chambre,Dice_chambre,Precision_chambre,Recall_chambre,F1_chambre,TP,FP,FN
baseline_v1,0.9851422991071429,0.49303927274964837,0.49405794369029665,0.6613638323423819,0.611417238630398,0.7201965975613108,0.661363832342382,157229,99926,61085
seuil_seul,0.985112043108259,0.4928496725372575,0.493519823470512,0.6608815172251459,0.6105933157800716,0.7201965975613108,0.6608815172251459,157229,100273,61085
marge_seule,0.9776044573102679,0.4561809829457711,0.39113634629630994,0.562326399331958,0.45809696760059954,0.7279560632849932,0.562326399331958,158923,187997,59391
tta_soft_seul,0.9857250104631696,0.4973488280970699,0.5063935102433659,0.6723256663015699,0.6264745207560306,0.7254184339987357,0.67232566630157,158369,94425,59945
morph_seul,0.9853937639508928,0.4953595888403007,0.5007656097568676,0.6673468614969055,0.6170751633986928,0.7265360902186758,0.6673468614969055,158613,98427,59701
combinaison_moderee,0.9810474504743304,0.47111323584481735,0.4324331699649613,0.6037743037960215,0.5168425721777928,0.7258627481517448,0.6037743037960216,158466,148138,59848
combinaison_v2_precedente,0.952774658203125,0.39426596150600784,0.23046872745947755,0.3746031448281037,0.2517324727956864,0.7317899905640499,0.3746031448281037,159760,474882,58554
