OBJECTID,STATUT,MODE_POSE,AUT_PASSAG,AUT_PASS_1,NATURE_CON,TYPE_LONGU,LONGUEUR,NOTE,COMPOSITIO,ID_PROPRIE,INDEX_DOC_,ENABLED,ORIGINE,LABEL_CABL,NB_CABLE,ORANGE,CLASSE,LARGEUR,HAUTEUR,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,METRIC,IS_ANTENNA,RECALAGE_D,SHAPE_LEN,latitude,longitude
5052732,E,7,0,,A,D,19.49,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,19.4792630924,50.76869753271689,2.720226517019471
5054026,E,7,0,,A,D,13.32,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,13.312270587,50.76594251464263,2.7228924912288996
5054029,E,7,0,,A,D,40.27,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,40.2660276595,50.76583997969273,2.7230511182965023
5054031,E,7,0,,A,D,72.32,,3Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,72.2970822156,50.765608569447224,2.7234267820567966
5054329,E,7,0,,A,D,16.55,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,16.542537456,50.76603059569949,2.7228150446691535
5054332,E,7,0,,A,D,21.91,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,21.9023330842,50.76640669572815,2.7224739608487334
5054335,E,7,0,,A,D,7.47,,3Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,7.46914207766,50.766012346510806,2.72294511376241
5054721,E,7,0,,A,D,49.81,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,49.7986536918,50.76715853931958,2.722049658455953
5054725,E,7,0,,A,D,13.7,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,13.6991532086,50.76761799751765,2.721894613466875
5054854,E,7,0,,A,D,36.76,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,36.7510598728,50.76712976595537,2.7234808677393936
5054859,E,7,0,,A,D,40.79,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,40.7801780844,50.76659803031165,2.7236740184530066
5054968,E,7,0,,A,D,10.6,,4Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,10.5952624949,50.76504831638665,2.7231545215416926
5054969,E,7,0,,A,D,13.62,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,13.6103862869,50.76532587875309,2.723268095122329
