latitude,longitude,idnatureaf,idnaturere
45.81911493043834,4.900251550684018,03,COM
45.81706091451006,4.896051359014594,03,COM
45.76147954966699,4.82768999331481,03,COM
45.76103061502748,4.828406507417747,03,COM
45.760833602452564,4.82834422124628,03,COM
45.76026310847767,4.828253348131232,03,COM
45.761357149975005,4.827629209770259,03,COM
45.76135424299866,4.828175586849058,03,COM
45.762404530747645,4.827758800544413,03,COM
45.762254344161654,4.828563453784603,03,COM
45.761291253893276,4.8284865325641055,03,COM
45.76108295709231,4.82841463161397,03,COM
45.76137158234874,4.828190212076549,03,COM
45.76221048219855,4.82844907143872,03,COM
45.761205404408564,4.828456549809719,03,COM
45.761507897463574,4.8278961707426005,03,COM
45.76096293093511,4.8283845473035045,03,COM
45.76146408220641,4.827839098689207,03,COM
45.76226336875069,4.828487136070761,03,COM
45.76223036829436,4.828703096863278,03,COM
45.761038883337356,4.828409026838343,03,COM
45.808403042275565,4.7796754621423965,03,COM
45.808109612386126,4.779743010263058,03,COM
45.80353605382956,4.861346230107499,03,COM
45.8166219876045,4.888412482334011,03,COM
45.81659715979124,4.8885040861600855,03,COM
45.80869625092458,4.779722649903129,03,COM
45.811585976142084,4.777744574452703,03,COM
45.77144039527762,4.8549016474653985,03,COM
45.77090601262108,4.855005519922214,03,COM
45.771199268216336,4.8550054222074674,03,COM
45.77106675165375,4.854981935924898,03,COM
45.7711742011402,4.854723231601612,03,COM
45.80862632169381,4.779490401941219,03,COM
45.80805843707209,4.780108051142485,03,COM
45.807586558072074,4.780031074148851,03,COM
45.80977339346019,4.7790540213504125,03,COM
45.807253578331924,4.779927037391618,03,COM
45.81122580089948,4.777955524480588,03,COM
45.80727340492497,4.779971430476787,03,COM
45.78143466115318,4.8327167000277,03,COM
45.78078642653835,4.8326080742652735,03,COM
45.810821976688054,4.7781752317701995,03,COM
45.80907148394259,4.779493794166722,03,COM
45.8072821916238,4.779981846648459,03,COM
45.696456252605024,4.8989330037723136,03,COM
45.69677024189192,4.900745523827758,03,COM
45.80906636472069,4.779476971050426,03,COM
45.69667467104335,4.900157251547076,03,COM
45.69643755131538,4.898876486815054,03,COM
45.69841051970444,4.896925203675207,03,COM
45.69685183337539,4.9013100512527625,03,COM
45.69827197147376,4.896202420493799,03,COM
45.69746456500419,4.8959946276081086,03,COM
45.80889955547398,4.779591200579314,03,COM
45.81242412234074,4.77748766764683,03,COM
45.810838830960655,4.778181695225851,03,COM
45.73278034316651,4.739515512083033,03,COM
45.69839877713454,4.896923718275053,03,COM
45.69817601007454,4.897108035201182,03,COM
45.69813748005947,4.896888167482329,03,COM
45.698386203187766,4.896921796810044,03,COM
45.69818249490791,4.897118132407516,03,COM
45.697869403501315,4.897014732388773,03,COM
45.69787505827521,4.897005714448735,03,COM
45.69816350415232,4.89702000726346,03,COM
45.69813022943122,4.89688197683484,03,COM
45.697701848168556,4.897091334409145,03,COM
45.69769387939388,4.897088562416668,03,COM
45.73167154584619,4.74032978657564,03,COM
45.69672625544933,4.897672363631951,03,COM
45.696461808753774,4.89699594765691,03,COM
45.69652046393785,4.89724119282725,03,COM
45.73114648718115,4.743385307572951,03,COM
45.73094502578073,4.744228637706785,03,COM
45.73091563258314,4.743387675400079,03,COM
45.73087314168208,4.7442892805731045,03,COM
45.73113097002933,4.743407674729081,03,COM
45.73100454467005,4.745126561871894,03,COM
45.73075218056368,4.743414048802843,03,COM
45.8164876675844,4.8882422290248755,03,COM
45.806780386170054,4.779082424056019,03,COM
45.72980081079969,4.74421955445015,03,COM
45.72962249625992,4.744162362799226,03,COM
45.72979004342819,4.743912142147291,03,COM
45.729761118009975,4.744172100822158,03,COM
45.72979724568823,4.744295309456103,03,COM
45.73011200484012,4.7436321623963495,03,COM
45.72943158986068,4.74372126174988,03,COM
45.728926823579854,4.743117897115184,03,COM
45.72884108457829,4.743058457567672,03,COM
45.729143616316954,4.743402576988634,03,COM
45.729267936253166,4.743345473593357,03,COM
45.72887012320497,4.743012468175298,03,COM
45.72917244316591,4.743439883892944,03,COM
