OBJECTID,STATUT,IMPLANT,NATURE_CHA,REF_CHAMBR,REF_NOTE,CODE_COM,CODE_VOIE,NUM_VOIE,ID_PROPRIE,ACC_DEPORT,VENTIL,PLAFON,ID_GESTION,TYPE_TRAPP,QUANTIFICA,INDEX_DOC_,ID_NOEUD,ROTATION,CODE_CH1,CODE_CH2,NOTE,SECURISEE,ATTENTE,CLE_MKT1,CLE_MKT2,CODE_CH1_C,CODE_CH2_P,ORANGE,CLASSE,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,COMPOSITE,DATE_SECU,FABRICANT,METRIC,FAR_NETWRK,RECALAGE_D,geometry,latitude,longitude
1064396,E,T,R,B1,,62588,0560,,1,0,0,0,0,,,0,4635279,261.1,1,62588,02A9025A91766F571C259BBDBF1B07D3,0,,62588|0560|,236|,236,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.758018388098461 50.459503686218945),50.459503686218945,1.758018388098461
1064446,E,T,R,A3,,62588,,,1,0,0,0,0,,,0,4608191,336.0,19,62588,02A9025A6BD816A01C259BC2B21B6C39,0,,||,161|,161,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.759596144143588 50.45921361169635),50.45921361169635,1.759596144143588
1064447,E,T,R,L5T,,62588,,,1,0,0,0,0,,,0,4648448,77.6,20,62588,02A9025A307DAA1D1C259BC2BB1B6DF2,0,,||,325|,325,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7576160096889368 50.45790380492246),50.45790380492246,1.7576160096889368
1064467,E,T,R,L0T,,62588,0700,,1,0,0,0,0,,,0,4684720,313.5,36,62588,02A9027123B6DB0C1C259BCC5E1C4383,0,,62588|0700|,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.762730822423906 50.465039865836914),50.465039865836914,1.762730822423906
1064469,E,T,R,L0T,,62588,0700,,1,0,0,0,0,,,0,4683915,42.9,38,62588,02A9027123F8DCC81C259BCC731C4511,0,,62588|0700|,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7628865793116806 50.46506466730005),50.46506466730005,1.7628865793116806
1064495,E,C,R,D2,,62588,,,1,0,0,1,0,,,0,4703123,42.3,64,62588,02A9025A9FDCC4F31C259BCE0E1C6941,0,,||,20|,20,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.758835848139877 50.46086328915887),50.46086328915887,1.758835848139877
1064516,E,T,R,L1T,,62588,0140,,1,0,0,0,0,,,0,4534697,80.9,84,62588,02A90270CF0CB20A1C259BD33C1CD87E,0,,62588|0140|,0623|,0623,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.760156063960376 50.46721912032724),50.46721912032724,1.760156063960376
1064979,E,C,R,D2,,62588,0700,,1,0,0,1,0,,,0,4682804,326.4,86,62588,02A9027125B4BB821C259C394022C86E,0,,62588|0700|,86|62588,,3,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.763537098148469 50.464611769237564),50.464611769237564,1.763537098148469
1064994,E,T,R,A3,,62588,,,1,0,0,0,0,,,0,4537043,46.2,101,62588,ENV-62588-D,0,,62588||,101|62588,120,62588,1,B,0,0,0,0,,2015-05-12,pwnext475,,0,,,0,0,,POINT (1.765936026279138 50.46383019712788),50.46383019712788,1.765936026279138
1065064,E,T,R,L5T,,62588,,,1,0,0,0,0,,,0,4585564,256.9,171,62588,02A90271C612AFF41C259C4C9B243DCB,0,,||,341|,341,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7663513851526385 50.46637841578999),50.46637841578999,1.7663513851526385
1065115,E,T,R,A3,,62588,,,1,0,0,0,0,,,0,4663419,255.4,222,62588,02A902719110E16D1C259C4EAF2470FE,0,,62588||,222|62588,140,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7643436849593943 50.46594794939049),50.46594794939049,1.7643436849593943
1065117,E,T,H,OHN,D,62588,,,1,0,0,0,0,,,0,4687725,1.4,224,62588,02A9027196045EEF1C259C4EC424720E,0,,||,361|,361,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7646789506474987 50.46633390690057),50.46633390690057,1.7646789506474987
1065128,E,T,H,OHN,L3T,62588,,,1,0,0,0,0,,,0,4603985,45.2,234,62588,ENV-62588-D,0,,62588||,234|62588,509,62588,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.7700344952398193 50.46974332028074),50.46974332028074,1.7700344952398193
1065134,E,T,H,OHN,512,62610,,,1,0,0,0,0,,,0,4579821,46.5,4,62610,ENV-62588-D,0,,62610||,4|62610,L5T,62610,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.7714259873356781 50.47080805244773),50.47080805244773,1.7714259873356781
1499391,E,T,R,REG,,62588,,,1,0,0,0,0,T,,0,7114863,339.2,241,62588,,0,,62588||,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.758909963144246 50.458425291798235),50.458425291798235,1.758909963144246
1499671,E,T,R,L2T,,62588,,,1,0,0,0,0,T,,0,7114785,326.8,252,62588,,0,,62588||,AAAA1|62588,AAAA1,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.759544639210879 50.45915776529871),50.45915776529871,1.759544639210879
2416809,E,T,R,L3T,,62588,,,1,0,0,0,0,T,,0,9553263,60.8,291,62588,ENV-62588-D,0,,62588||,291|62588,507,62588,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.7687174129578587 50.46877815403884),50.46877815403884,1.7687174129578587
2416810,E,T,R,L3T,,62588,,,1,0,0,0,0,T,,0,9553412,63.1,292,62588,ENV-62588-D,0,,62588||,292|62588,508,62588,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.769053359023322 50.46911656276658),50.46911656276658,1.769053359023322
2417094,E,T,R,L3T,,62588,1320,,1,0,0,0,0,T,,0,9553956,53.1,304,62588,ENV-62588-D,0,,62588|1320|,304|62588,511,62588,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.7703638944707094 50.47024331667099),50.47024331667099,1.7703638944707094
2417333,E,T,R,L3T,,62588,1460,,1,0,0,0,0,T,,0,9554659,0.0,314,62588,"ENV-62588-D
à vérifier
",0,,62588|1460|,314|62588,594,62588,1,B,0,0,0,0,,2015-05-06,pwnext475,,0,,,0,0,,POINT (1.7657815141592597 50.46668463002171),50.46668463002171,1.7657815141592597
